EmployeeID,FirstName,Department,JobRole,Age,Gender,MaritalStatus,Education,State,City,HireDate,TerminationDate,Attrition,MonthlySalary,AnnualSalary,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHomeKM,NumCompaniesWorked,TrainingHoursLastYear
111255,Employee111255,Pharmacy,Pharmacy Technician,36,Female,Single,Bachelor's Degree,CT,Hartford,2019-08-05,,No,4941.67,59300.0,3,3.0,3,Yes,15.3,3,49
101200,Employee101200,Lab Services,Lab Technician,36,male,Married,Associate Degree,NY,Rochester,2018-09-13,2023-09-27,Yes,5058.33,60700.0,2,2.0,3,No,7.6,3,9
105686,Employee105686,IT,IT Support,44,Female,Single,Bachelor's Degree,CT,New Haven,2024-02-17,2025-09-14,Yes,4458.33,53500.0,3,2.0,3,Yes,7.8,5,40
111517,Employee111517,Patient Support,Patient Coordinator,48,Male,Divorced,Master's Degree,NJ,Trenton,2020-12-11,2022-10-03,Yes,4800.0,57600.0,2,1.0,1,Yes,15.8,2,33
108778,Employee108778,Lab Services,Lab Technician,23,Male,Married,Bachelor's Degree,NY,Buffalo,2016-07-06,,No,5125.0,61500.0,1,2.0,3,Yes,12.2,1,31
113321,Employee113321,Lab Services,Phlebotomist,48,Female,Married,High School,NY,Syracuse,2015-05-30,,No,5141.67,61700.0,2,4.0,3,Yes,16.2,3,47
104053,Employee104053,Radiology,Radiologic Technologist,45,Male,Single,Master's Degree,PA,Pittsburgh,2022-10-24,,No,6491.67,77900.0,2,1.0,3,No,32.1,2,47
107109,Employee107109,Facilities,Facilities Manager,33,Non-Binary,Married,Master's Degree,MA,Springfield,2014-07-20,,No,11475.0,137700.0,3,4.0,1,No,7.2,1,13
103377,Employee103377,Finance,Accountant,33,Male,Single,Master's Degree,NJ,Jersey City,2016-04-02,,No,5333.33,64000.0,3,2.0,4,No,9.2,1,51
100299,Employee100299,Emergency,ER Nurse,50,Male,Single,Bachelor's Degree,CT,Hartford,2019-05-08,,No,6250.0,75000.0,3,5.0,3,No,52.0,3,27
108542,Employee108542,Human Resources,Benefits Coordinator,27,Female,Married,Bachelor's Degree,CT,New Haven,2023-05-28,,No,4866.67,58400.0,3,4.0,4,No,1.0,1,39
112407,Employee112407,Emergency,ER Physician,53,Male,Divorced,Bachelor's Degree,CT,Hartford,2018-06-28,,No,10608.33,127300.0,3,5.0,4,Yes,31.0,3,48
105027,Employee105027,Surgery,Anesthesiologist,38,Female,Divorced,Associate Degree,PA,Allentown,2024-01-11,,No,10150.0,121800.0,4,3.0,4,No,1.8,2,10
106373,Employee106373,Pharmacy,Pharmacy Technician,43,Male,Married,Bachelor's Degree,NY,Syracuse,2022-02-23,,No,4458.33,53500.0,3,4.0,3,Yes,7.9,3,37
113541,Employee113541,Emergency, ER Physician  ,35,Female,Divorced,Master's Degree,MA,Boston,2016-08-12,,No,11725.0,140700.0,4,2.0,4,No,9.2,3,30
100610,Employee100610,Administration,Admin Assistant,48,Male,Divorced,Associate Degree,MA,Springfield,2019-07-07,,No,4333.33,52000.0,4,3.0,4,No,2.1,3,21
108488,Employee108488,Facilities,Custodian,27,Female,Married,Associate Degree,MA,Springfield,2019-05-10,,No,4750.0,57000.0,3,3.0,2,No,2.5,1,23
105322,Employee105322,Facilities,Custodian,38,Female,Single,Master's Degree,NY,Buffalo,2020-08-05,,No,5883.33,70600.0,2,4.0,1,Yes,10.9,3,25
112754,Employee112754,Facilities,Facilities Manager,44,Female,Married,Associate Degree,NY,Syracuse,2015-08-11,,No,9758.33,117100.0,4,4.0,2,No,1.6,1,43
104921,Employee104921,Facilities,Maintenance Tech,34,Female,Married,Master's Degree,PA,Allentown,2015-11-26,,No,5633.33,67600.0,3,1.0,4,No,9.3,0,47
107647,Employee107647,Nursing,Staff Nurse,46,Male,Married,High School,CT,Hartford,2022-04-16,,No,6100.0,73200.0,1,1.0,2,No,25.6,2,2
109080,Employee109080,Human Resources,Recruiter,37,Female,Single,Master's Degree,MA,Springfield,2019-11-21,,No,5400.0,64800.0,3,2.0,2,Yes,10.0,1,24
111806,Employee111806,Lab Services,Lab Technician,34,Female,Single,High School,MA,Worcester,2015-10-16,,No,4233.33,50800.0,1,4.0,2,No,5.2,1,66
110038,Employee110038,IT,Data Analyst,32,Male,Married,Associate Degree,MA,Worcester,2021-03-12,,No,6925.0,83100.0,2,1.0,2,No,1.8,1,14
102996,Employee102996,Administration,Office Manager,40,Male,Married,Master's Degree,PA,Philadelphia,2021-07-03,,No,11450.0,137400.0,2,4.0,3,No,22.6,0,20
100691,Employee100691,Administration,Records Clerk,53,Male,Divorced,Bachelor's Degree,NJ,Newark,2023-01-24,,No,5150.0,61800.0,4,1.0,3,Yes,1.0,6,18
110294,Employee110294,SURGERY,Surgical Tech,38,Male,Divorced,Doctorate,MA,Worcester,2018-11-30,,No,6783.33,81400.0,3,1.0,4,No,17.3,1,45
109856,Employee109856,Finance,Accountant,38,Female,Married,Master's Degree,PA,Allentown,2022-01-28,,No,4883.33,58600.0,4,3.0,3,Yes,1.0,0,19
108921,Employee108921,Human Resources,HR Manager,35,Male,Divorced,Doctorate,MA,Boston,2021-02-12,2021-05-20,Yes,11841.67,142100.0,3,2.0,3,No,12.5,4,27
103978,Employee103978,Facilities,Facilities Manager,40,Female,Single,High School,PA,Pittsburgh,2021-01-27,2023-08-16,Yes,9816.67,117800.0,3,4.0,2,No,27.5,3,33
100428,Employee100428,Facilities,Facilities Manager,34,Male,Married,Doctorate,CT,Hartford,2017-03-19,,No,11841.67,142100.0,2,2.0,2,Yes,3.0,4,28
113825,Employee113825,Nursing,ICU Nurse,32,Male,Single,Bachelor's Degree,NJ,Newark,2020-11-01,,No,6516.67,78200.0,1,2.0,2,No,1.0,2,18
107591,Employee107591,Emergency,ER Nurse,27,Male,Divorced,Master's Degree,NJ,Jersey City,2022-10-25,2024-12-19,Yes,6516.67,78200.0,2,2.0,1,Yes,7.2,4,19
106039,Employee106039,Facilities,Maintenance Tech,39,Male,Married,High School,PA,Pittsburgh,2024-01-13,,No,4725.0,56700.0,3,2.0,1,No,20.2,3,23
113493,Employee113493,Lab Services,Lab Technician,26,Female,Married,Bachelor's Degree,NJ,Newark,2016-05-17,,No,5208.33,62500.0,2,3.0,3,No,2.6,6,37
106015,Employee106015,IT,Data Analyst,29,Male,Married,Doctorate,PA,Allentown,2015-06-10,2017-03-22,Yes,9150.0,109800.0,3,3.0,3,Yes,1.0,4,16
113766,Employee113766,IT,IT Support,22,Female,Divorced,Master's Degree,NY,Buffalo,2022-09-29,,No,5741.67,68900.0,3,3.0,2,No,6.3,0,22
110397,Employee110397,Finance,Financial Analyst,40,Female,Single,Associate Degree,NJ,Newark,2014-08-22,,No,7158.33,85900.0,3,4.0,2,No,9.8,1,9
109519,Employee109519,Administration,Records Clerk,25,Male,Divorced,Master's Degree,NY,Syracuse,2019-03-11,,No,6150.0,73800.0,4,4.0,3,No,40.9,5,20
101761,Employee101761,Facilities,Maintenance Tech,28,Male,Divorced,Bachelor's Degree,PA,Pittsburgh,2023-09-23,,No,4458.33,53500.0,3,3.0,2,No,16.5,4,37
104265,Employee104265,Emergency,ER Nurse,41,Male,Divorced,High School,CT,Hartford,2021-03-20,,No,6283.33,75400.0,3,1.0,2,No,4.1,0,17
108648,Employee108648,Radiology,Radiologic Technologist,21,Male,Divorced,Bachelor's Degree,NJ,Jersey City,2025-02-01,,No,5858.33,70300.0,3,3.0,2,No,5.7,3,21
105324,Employee105324,Human Resources,HR Manager,32,Female,Married,Bachelor's Degree,MA,Worcester,2015-02-04,,No,11016.67,132200.0,3,1.0,2,No,10.7,5,47
112422,Employee112422,Nursing,Staff Nurse,29,Female,Single,Bachelor's Degree,NY,Buffalo,2020-06-11,,No,6266.67,75200.0,4,4.0,2,No,25.8,3,36
106066,Employee106066,Facilities,Facilities Manager,30,Female,Married,Master's Degree,MA,Worcester,2021-06-01,,No,11058.33,132700.0,3,4.0,2,No,36.3,4,57
104316,Employee104316,Human Resources,HR Generalist,58,Female,Married,Doctorate,NJ,Newark,2022-05-09,,No,6508.33,78100.0,3,2.0,4,No,17.2,2,31
105974,Employee105974,Emergency,ER Physician,42,Female,Married,Associate Degree,MA,Springfield,2019-07-28,,No,10416.67,125000.0,3,1.0,1,No,1.6,1,58
113426,Employee113426,Finance,Billing Specialist,48,Female,Single,Bachelor's Degree,CT,New Haven,2021-04-22,,No,7625.0,91500.0,3,4.0,3,No,40.8,1,34
114602,Employee114602,Finance,Accountant,41,Male,Divorced,Bachelor's Degree,NY,Buffalo,2022-03-18,,No,4766.67,57200.0,4,2.0,4,Yes,5.4,1,50
114259,Employee114259,Lab Services,Lab Manager,40,Female,Single,Bachelor's Degree,PA,Allentown,2020-10-20,,No,10233.33,122800.0,5,3.0,2,No,20.2,1,25
111935,Employee111935,Emergency,ER Nurse,36,Male,Married,Master's Degree,MA,Worcester,2018-03-18,,No,7125.0,85500.0,3,5.0,2,No,12.6,2,21
102408,Employee102408,Radiology,Imaging Specialist,48,Female,Married,Bachelor's Degree,MA,Springfield,2014-07-07,,No,7408.33,88900.0,4,2.0,4,No,15.5,0,17
112011,Employee112011,Human Resources,HR Generalist,28,Female,Married,High School,CT,Stamford,2023-05-16,,No,3675.0,44100.0,3,2.0,4,No,5.2,1,51
106509,Employee106509,Human Resources,Benefits Coordinator,39,Female,Single,High School,NJ,Trenton,2023-04-13,,No,4316.67,51800.0,1,3.0,3,No,1.4,5,49
112707,Employee112707,Patient Support,Case Manager,36,male,Divorced,Bachelor's Degree,NJ,Newark,2021-05-18,,No,10975.0,131700.0,4,1.0,3,No,1.0,4,49
101459,Employee101459,Lab Services,Lab Manager,39,Female,Single,High School,NJ,Newark,2017-07-04,,No,9958.33,119500.0,3,2.0,2,Yes,3.2,1,35
102368,Employee102368,Human Resources,Benefits Coordinator,49,male,Divorced,Bachelor's Degree,CT,Hartford,2022-04-14,,No,5383.33,64600.0,3,4.0,2,No,7.2,1,40
112151,Employee112151,Pharmacy,Pharmacy Technician,41,Female,Married,Associate Degree,CT,Stamford,2023-08-08,,No,4758.33,57100.0,1,3.0,3,No,8.1,5,25
101233,Employee101233,Nursing,Staff Nurse,35,Female,Married,Doctorate,CT,New Haven,2024-11-27,,No,7650.0,91800.0,4,2.0,2,Yes,9.5,4,37
105238,Employee105238,IT,Systems Analyst,29,male,Single,Bachelor's Degree,NY,Albany,2014-04-17,,No,7883.33,94600.0,2,3.0,3,No,8.0,0,18
100070,Employee100070,Nursing,Charge Nurse,34,Female,Divorced,Bachelor's Degree,CT,New Haven,2019-07-26,,No,7041.67,84500.0,3,2.0,2,No,10.8,1,17
104599,Employee104599,Lab Services,Lab Manager,45,Male,Divorced,Bachelor's Degree,CT,New Haven,2015-08-05,,No,10525.0,126300.0,4,2.0,3,No,16.8,2,29
107131,Employee107131,Nursing,Nurse Practitioner,46,Male,Married,Bachelor's Degree,CT,Hartford,2019-08-20,,No,7250.0,87000.0,3,4.0,4,No,7.9,1,52
105080,Employee105080,Facilities,Facilities Manager,21,Male,Divorced,Doctorate,NJ,Jersey City,2022-11-27,,No,12158.33,145900.0,2,2.0,3,No,2.3,4,0
106296,Employee106296,Emergency,ER Physician,21,Female,Married,Associate Degree,NJ,Newark,2024-12-23,,No,10300.0,123600.0,2,3.0,2,No,5.7,2,38
111135,Employee111135,Human Resources,Recruiter,33,Female,Married,Associate Degree,CT,Stamford,2023-03-09,,No,4325.0,51900.0,4,3.0,2,No,7.3,1,45
110980,Employee110980,Human Resources,HR Generalist,39,Female,Divorced,Master's Degree,CT,New Haven,2018-02-17,,No,6216.67,74600.0,3,3.0,2,No,6.7,1,25
107599,Employee107599,Radiology,Imaging Specialist,21,Male,Married,Associate Degree,NJ,Newark,2024-12-13,,No,6325.0,75900.0,4,2.0,4,No,4.1,2,50
111492,Employee111492,IT,IT Support,46,Female,Divorced,Master's Degree,NJ,Newark,2015-03-22,,No,6558.33,78700.0,3,1.0,2,No,6.0,3,12
110444,Employee110444,HUMAN RESOURCES,HR Generalist,36,Male,Divorced,Bachelor's Degree,NY,Albany,2021-12-01,,No,4375.0,52500.0,3,2.0,1,No,14.3,0,12
101739,Employee101739,Emergency,ER Nurse,31,Female,Married,Master's Degree,PA,Allentown,2017-04-22,,No,7016.67,84200.0,4,4.0,2,No,6.5,1,10
107882,Employee107882,Pharmacy,Pharmacist,41,Female,Divorced,Master's Degree,CT,Hartford,2022-04-07,,No,8016.67,96200.0,3,4.0,3,No,4.3,1,36
110715,Employee110715,Emergency,ER Physician,31,Male,Married,Master's Degree,CT,New Haven,2024-01-07,,No,10833.33,130000.0,3,5.0,2,No,1.0,3,15
100695,Employee100695,Lab Services,Phlebotomist,34,Female,Married,Bachelor's Degree,PA,Allentown,2025-05-18,,No,4500.0,54000.0,3,3.0,3,No,38.7,5,0
100414,Employee100414,Nursing,ICU Nurse,42,Male,Divorced,Bachelor's Degree,CT,Hartford,2018-11-21,,No,6533.33,78400.0,4,3.0,3,No,7.6,0,18
103099,Employee103099,Finance,Billing Specialist,31,Male,Married,Bachelor's Degree,NJ,Trenton,2014-01-01,,No,8183.33,98200.0,2,1.0,2,No,13.5,2,38
111559,Employee111559,Lab Services,Phlebotomist,45,Non-Binary,Divorced,Associate Degree,MA,Springfield,2024-04-06,,No,4066.67,48800.0,4,2.0,3,No,12.5,0,31
102255,Employee102255,Nursing,Staff Nurse,29,Female,Single,Associate Degree,MA,Springfield,2016-02-22,,No,6683.33,80200.0,3,2.0,3,Yes,11.4,1,13
108123,Employee108123,Pharmacy,Pharmacy Technician,42,Male,Divorced,Bachelor's Degree,NY,Albany,2015-08-27,,No,4775.0,57300.0,2,4.0,2,Yes,27.8,4,45
104509,Employee104509,Lab Services,Phlebotomist,23,Female,Divorced,Associate Degree,NY,Syracuse,2014-04-12,2017-11-03,Yes,5191.67,62300.0,3,3.0,2,Yes,35.3,3,43
113486,Employee113486,Nursing,ICU Nurse,21,male,Single,Master's Degree,NJ,Newark,2017-02-04,,No,6708.33,80500.0,2,3.0,2,No,3.3,3,0
104422,Employee104422,Lab Services,Lab Manager,38,Female,Single,High School,NJ,Trenton,2021-09-16,,No,10191.67,122300.0,4,1.0,3,No,4.1,4,33
102715,Employee102715,Administration,Records Clerk,53,Male,Single,Master's Degree,NJ,Newark,2014-03-21,,No,5983.33,71800.0,4,3.0,4,No,14.0,1,33
107691,Employee107691,PHARMACY,Pharmacy Technician,42,Female,Divorced,Doctorate,MA,Springfield,2023-09-26,,No,6691.67,80300.0,3,3.0,2,Yes,12.6,1,7
111732,Employee111732,Surgery,Surgeon,32,Female,Married,Master's Degree,MA,Springfield,2016-05-10,,No,11641.67,139700.0,3,4.0,2,No,10.2,2,45
114337,Employee114337,Surgery,Anesthesiologist,21,Male,Married,Bachelor's Degree,PA,Philadelphia,2023-04-12,,No,10591.67,127100.0,2,2.0,3,Yes,25.0,5,52
109750,Employee109750,Facilities,Facilities Manager,39,Male,Single,Bachelor's Degree,PA,Pittsburgh,2014-01-04,,No,10500.0,126000.0,5,3.0,3,No,1.0,1,36
108443,Employee108443,Finance,Financial Analyst,35,female,Divorced,Bachelor's Degree,NJ,Jersey City,2015-10-11,2023-11-09,Yes,7375.0,88500.0,2,3.0,3,Yes,5.7,2,39
101593,Employee101593,Surgery,Surgical Tech,36,Male,Divorced,Master's Degree,NJ,Trenton,2023-09-24,,No,5083.33,61000.0,1,2.0,3,No,32.8,4,42
113262,Employee113262,Radiology,Radiologist,26,Male,Single,Bachelor's Degree,NY,Albany,2025-01-13,2025-05-28,Yes,9808.33,117700.0,1,2.0,3,No,11.5,5,28
114794,Employee114794,Emergency,ER Physician,23,female,Married,Bachelor's Degree,CT,Hartford,2024-05-21,2024-10-24,Yes,10441.67,125300.0,4,2.0,3,Yes,1.5,2,24
106851,Employee106851,Radiology,Imaging Specialist,51,female,Divorced,Associate Degree,NY,Albany,2023-03-19,,No,6808.33,81700.0,3,3.0,1,Yes,10.4,5,42
105899,Employee105899,Nursing,Nurse Practitioner,33,Female,Married,Associate Degree,CT,New Haven,2015-06-11,,No,7858.33,94300.0,3,3.0,2,No,2.3,5,33
112509,Employee112509,Administration,Office Manager,39,Male,Single,Doctorate,MA,Springfield,2022-08-18,,No,12558.33,150700.0,4,2.0,3,Yes,18.0,2,18
100296,Employee100296,Nursing,Nurse Practitioner,40,Female,Single,Bachelor's Degree,PA,Allentown,2024-07-09,,No,6900.0,82800.0,4,2.0,3,No,6.5,2,20
101686,Employee101686,Emergency,Paramedic,50,Male,Divorced,Master's Degree,MA,Boston,2017-12-10,,No,6458.33,77500.0,3,3.0,3,No,3.9,2,24
106816,Employee106816,RADIOLOGY,Radiologist,46,Male,Single,Bachelor's Degree,PA,Allentown,2019-04-16,,No,10733.33,128800.0,3,2.0,4,No,5.3,1,18
100702,Employee100702,Pharmacy,Pharmacist,34,Female,Married,Master's Degree,PA,Allentown,2023-04-08,,No,8300.0,99600.0,2,4.0,4,No,2.1,6,10
104382,Employee104382,Facilities,Maintenance Tech,49,Male,Single,Master's Degree,PA,Allentown,2019-11-16,,No,5275.0,63300.0,2,4.0,2,No,1.0,3,7
101842,Employee101842,Pharmacy,Pharmacy Technician,41,Male,Divorced,Bachelor's Degree,NY,Albany,2021-09-10,,No,4641.67,55700.0,4,4.0,2,No,1.0,2,14
108941,Employee108941,Finance,Accountant,28,Female,Divorced,High School,MA,Boston,2021-08-18,,No,4383.33,52600.0,2,3.0,3,No,8.5,3,10
113981,Employee113981,IT,Systems Analyst,30,male,Single,Associate Degree,NY,Rochester,2019-02-15,,No,6691.67,80300.0,1,4.0,5,No,20.0,2,48
103347,Employee103347,Patient Support,Case Manager,47,Male,Divorced,Bachelor's Degree,PA,Allentown,2025-01-22,,No,9675.0,116100.0,3,4.0,4,Yes,10.0,0,17
106510,Employee106510,Nursing,ICU Nurse,46,Male,Married,Associate Degree,MA,Worcester,2025-05-27,,No,6375.0,76500.0,4,2.0,4,No,26.9,2,38
112146,Employee112146,Nursing,ICU Nurse,38,Female,Divorced,Doctorate,MA,Boston,2025-02-07,,No,8225.0,98700.0,3,3.0,2,No,9.3,1,35
105353,Employee105353,Emergency,ER Physician,44,Female,Married,Bachelor's Degree,PA,Philadelphia,2020-11-15,,No,11025.0,132300.0,1,3.0,4,No,2.3,5,26
103518,Employee103518,Emergency,Paramedic,21,Female,Divorced,Bachelor's Degree,MA,Springfield,2025-01-07,,No,4150.0,49800.0,4,4.0,4,No,5.2,0,30
108358,Employee108358,Nursing,Staff Nurse,48,Female,Single,High School,CT,Stamford,2016-08-26,,No,6650.0,79800.0,3,3.0,2,No,25.5,5,0
105206,Employee105206,Pharmacy,Pharmacy Technician,58,Male,Single,Bachelor's Degree,CT,Hartford,2017-02-19,,No,5091.67,61100.0,2,3.0,3,No,17.7,4,0
110759,Employee110759,Facilities,Facilities Manager,44,Female,Divorced,Bachelor's Degree,PA,Philadelphia,2020-04-10,2025-11-09,Yes,10483.33,125800.0,2,2.0,4,Yes,1.5,3,6
110325,Employee110325,LAB SERVICES,Lab Manager,37,Non-Binary,Married,Bachelor's Degree,PA,Pittsburgh,2024-11-14,,No,9933.33,119200.0,4,2.0,3,No,14.3,0,0
112975,Employee112975,Administration,Admin Assistant,30,Male,Married,Master's Degree,MA,Boston,2025-08-17,,No,5450.0,65400.0,3,2.0,3,Yes,25.7,2,37
107214,Employee107214,Administration,Records Clerk,39,Female,Single,Associate Degree,PA,Pittsburgh,2022-02-04,,No,4491.67,53900.0,3,4.0,3,No,1.6,2,21
108914,Employee108914,Emergency,ER Physician,47,Female,Divorced,High School,NY,Albany,2025-07-04,,No,9525.0,114300.0,2,1.0,3,No,22.7,4,32
103226,Employee103226,Radiology,Radiologic Technologist,43,Female,Married,Associate Degree,NJ,Trenton,2014-07-28,,No,6658.33,79900.0,5,2.0,2,Yes,10.9,1,25
109053,Employee109053,Patient Support,Patient Coordinator,50,Female,Married,Doctorate,NY,Buffalo,2024-08-25,2024-11-30,Yes,6583.33,79000.0,2,5.0,3,No,14.4,0,17
113152,Employee113152,IT,Data Analyst,42,Female,Married,Bachelor's Degree,NJ,Newark,2016-08-15,,No,8341.67,100100.0,4,2.0,2,No,2.2,5,27
100022,Employee100022,IT,Network Engineer,30,Male,Divorced,Associate Degree,MA,Worcester,2014-04-05,,No,7083.33,85000.0,3,1.0,3,Yes,37.2,4,46
107107,Employee107107,Pharmacy,Pharmacy Technician,28,Female,Married,Bachelor's Degree,NY,Syracuse,2022-04-12,,No,4541.67,54500.0,4,2.0,2,No,10.2,3,8
103030,Employee103030,Surgery,Anesthesiologist,43,Female,Single,Associate Degree,CT,Hartford,2014-10-26,,No,10941.67,131300.0,2,2.0,2,No,3.8,2,9
108958,Employee108958,Patient Support,Intake Specialist,29,Female,Married,Bachelor's Degree,MA,Springfield,2016-10-23,,No,6891.67,82700.0,3,3.0,3,Yes,1.3,2,30
110958,Employee110958,Facilities,Maintenance Tech,33,Female,Divorced,High School,CT,Hartford,2016-07-31,,No,4683.33,56200.0,1,3.0,3,No,10.5,6,29
104871,Employee104871,Emergency,ER Nurse,31,Male,Married,Master's Degree,NY,Rochester,2016-08-06,,No,7133.33,85600.0,2,1.0,2,Yes,2.6,2,50
100589,Employee100589,Patient Support,Case Manager,30,Male,Single,Master's Degree,CT,Hartford,2025-11-19,,No,11008.33,132100.0,4,3.0,4,No,2.8,3,20
111773,Employee111773,Human Resources,Benefits Coordinator,39,Male,Married,Master's Degree,NJ,Trenton,2022-08-26,,No,5641.67,67700.0,2,3.0,3,No,11.5,0,22
103002,Employee103002,Finance,Billing Specialist,40,Male,Single,Bachelor's Degree,MA,Springfield,2023-10-04,,No,7625.0,91500.0,5,3.0,2,No,21.6,2,45
112493,Employee112493,Administration,Office Manager,37,Female,Divorced,Bachelor's Degree,MA,Springfield,2018-02-20,2018-11-27,Yes,10800.0,129600.0,2,3.0,3,Yes,17.9,3,0
104679,Employee104679,Lab Services,Lab Manager,28,Female,Single,Master's Degree,PA,Philadelphia,2019-05-03,,No,11200.0,134400.0,3,4.0,2,No,7.5,2,31
102472,Employee102472,Human Resources,HR Manager,37,Male,Single,Bachelor's Degree,NY,Albany,2017-08-07,,No,10916.67,131000.0,3,2.0,3,Yes,14.5,1,45
100757,Employee100757,Radiology,Radiologist,39,Female,Married,Bachelor's Degree,NY,Albany,2024-04-04,,No,10791.67,129500.0,3,4.0,3,No,2.8,1,23
103414,Employee103414,Lab Services,Lab Technician,31,Male,Single,High School,MA,Worcester,2023-11-10,,No,4350.0,52200.0,2,3.0,3,No,4.4,1,16
110985,Employee110985,Surgery,Anesthesiologist,40,Male,Divorced,Bachelor's Degree,NJ,Newark,2024-07-18,,No,10716.67,128600.0,4,3.0,3,No,2.1,1,49
113410,Employee113410,Human Resources,HR Generalist,39,Female,Single,Master's Degree,NY,Albany,2017-07-09,,No,6341.67,76100.0,3,3.0,2,No,9.6,2,16
104634,Employee104634,Emergency,ER Nurse,38,Male,Divorced,Bachelor's Degree,MA,Springfield,2024-08-05,2025-03-04,Yes,5400.0,64800.0,5,2.0,4,Yes,1.0,3,12
106900,Employee106900,Administration,Admin Assistant,57,Male,Divorced,Master's Degree,CT,New Haven,2021-10-23,,No,5566.67,66800.0,3,1.0,3,Yes,11.8,3,26
105695,Employee105695,Pharmacy,Pharmacist,21,Female,Single,Bachelor's Degree,NY,Syracuse,2020-03-21,,No,7533.33,90400.0,3,2.0,3,No,46.1,2,53
104010,Employee104010,Surgery,Anesthesiologist,40,Male,Divorced,Bachelor's Degree,NJ,Jersey City,2015-02-14,,No,11316.67,135800.0,2,3.0,4,Yes,12.9,5,18
